;Community CFU;|p__Actinobacteria;|p__Bacteroidetes;|g__Bifidobacterium;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|s__Bifidobacterium_adolescentis;|s__Bifidobacterium_longum;|s__Bacteroides_caccae;|s__Bacteroides_cellulosilyticus;|s__Bacteroides_coprophilus;|s__Bacteroides_dorei;|s__Bacteroides_eggerthii;|s__Bacteroides_finegoldii;|s__Bacteroides_fragilis;|s__Bacteroides_intestinalis;|s__Bacteroides_ovatus;|s__Bacteroides_stercoris;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_vulgatus;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_distasonis;|s__Parabacteroides_johnsonii;|s__Parabacteroides_merdae;|s__Alistipes_indistinctus;BACDOR_00665;BACDOR_03642;BACDOR_03937;BT_0152;BT_0569;BT_3124;BT_4091;BT_4096;COLAER_00815
PCC Slope_FAMCICLOVIR;-0.18;-0.33;0.74;-0.31;0.65;0.53;0.39;-0.25;-0.08;0.45;0.25;NaN;0.40;0.04;-0.06;0.35;0.07;0.35;0.24;0.21;0.34;0.28;-0.08;0.24;0.43;0.56;0.60;0.52;0.45;0.56;0.43;0.39;0.19;0.32;0.36;-0.16
p-value Slope_FAMCICLOVIR;0.36;0.09;0.00;0.11;0.00;0.00;0.04;0.21;0.68;0.02;0.19;NaN;0.04;0.85;0.75;0.07;0.74;0.07;0.22;0.29;0.08;0.15;0.69;0.21;0.02;0.00;0.00;0.00;0.02;0.00;0.02;0.04;0.34;0.09;0.06;0.41

;Community CFU;|p__Bacteroidetes;|p__Firmicutes;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|g__Clostridium;|g__Blautia;|s__Bacteroides_dorei;|s__Bacteroides_ovatus;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_distasonis;|s__Parabacteroides_johnsonii;|s__Alistipes_indistinctus;|s__Clostridium_nexile;|s__Blautia_hansenii;BT_4096
PCC Slope_DILTIAZEMHYDROCHLORIDE;0.24;-0.01;0.08;-0.03;0.14;0.14;0.04;-0.08;-0.19;-0.02;-0.20;0.06;0.20;0.22;-0.06;0.04;0.18;-0.19;0.37
p-value Slope_DILTIAZEMHYDROCHLORIDE;0.22;0.95;0.68;0.87;0.47;0.49;0.84;0.68;0.33;0.91;0.31;0.75;0.30;0.26;0.77;0.83;0.37;0.33;0.05

;Community CFU;|p__Bacteroidetes;|p__Firmicutes;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|g__Clostridium;|g__Blautia;|g__Erysipelotrichaceae_noname;|s__Bacteroides_caccae;|s__Bacteroides_cellulosilyticus;|s__Bacteroides_coprophilus;|s__Bacteroides_dorei;|s__Bacteroides_eggerthii;|s__Bacteroides_finegoldii;|s__Bacteroides_fragilis;|s__Bacteroides_intestinalis;|s__Bacteroides_ovatus;|s__Bacteroides_stercoris;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_vulgatus;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_johnsonii;|s__Parabacteroides_merdae;|s__Alistipes_indistinctus;|s__Clostridium_hathewayi;|s__Clostridium_nexile;|s__Blautia_hansenii;|s__Ruminococcus_gnavus;|s__Ruminococcus_torques;|s__Eubacterium_biforme;BACDOR_03091;BT_2068
PCC Slope_NORETHINDRONEACETATE;-0.21;0.35;-0.21;0.32;0.27;0.13;-0.07;-0.01;0.13;0.36;0.57;NaN;0.11;0.27;-0.12;0.11;-0.15;0.21;-0.14;-0.04;0.32;0.39;-0.13;0.35;0.25;0.21;0.03;-0.21;0.31;-0.00;-0.18;0.13;0.33;0.39
p-value Slope_NORETHINDRONEACETATE;0.29;0.07;0.27;0.10;0.16;0.53;0.72;0.97;0.50;0.06;0.00;NaN;0.58;0.17;0.54;0.56;0.45;0.28;0.47;0.84;0.10;0.04;0.51;0.07;0.19;0.30;0.90;0.29;0.11;0.99;0.36;0.52;0.09;0.04

;Community CFU;|p__Actinobacteria;|p__Bacteroidetes;|g__Bifidobacterium;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|s__Bifidobacterium_adolescentis;|s__Bifidobacterium_longum;|s__Bacteroides_caccae;|s__Bacteroides_cellulosilyticus;|s__Bacteroides_coprophilus;|s__Bacteroides_dorei;|s__Bacteroides_eggerthii;|s__Bacteroides_finegoldii;|s__Bacteroides_fragilis;|s__Bacteroides_intestinalis;|s__Bacteroides_ovatus;|s__Bacteroides_stercoris;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_vulgatus;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_distasonis;|s__Parabacteroides_johnsonii;|s__Parabacteroides_merdae;|s__Alistipes_indistinctus;BACDOR_00665;BACDOR_03642;BACDOR_03937;BT_0152;BT_0569;BT_3124;BT_4091;BT_4096;COLAER_00815
PCC Slope_FAMCICLOVIR_237_123;0.07;0.03;0.54;0.05;0.47;0.54;0.19;-0.00;0.28;0.49;0.44;NaN;0.33;0.21;0.01;0.09;0.08;0.12;0.14;0.13;0.08;0.53;-0.01;0.38;0.28;0.56;0.22;0.60;0.57;0.59;0.43;0.36;0.36;0.31;0.30;-0.13
p-value Slope_FAMCICLOVIR_237_123;0.72;0.89;0.00;0.81;0.01;0.00;0.32;0.98;0.15;0.01;0.02;NaN;0.09;0.29;0.94;0.66;0.68;0.54;0.48;0.51;0.68;0.00;0.95;0.04;0.15;0.00;0.27;0.00;0.00;0.00;0.02;0.06;0.06;0.11;0.13;0.50

;Community CFU;|p__Bacteroidetes;|p__Firmicutes;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|g__Clostridium;|g__Blautia;|s__Bacteroides_dorei;|s__Bacteroides_ovatus;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_distasonis;|s__Parabacteroides_johnsonii;|s__Alistipes_indistinctus;|s__Clostridium_nexile;|s__Blautia_hansenii;BT_4096
PCC Slope_DILTIAZEMHYDROCHLORIDE_372_151;0.35;0.29;-0.04;0.22;0.46;0.08;-0.11;-0.23;0.13;0.05;0.07;-0.11;0.30;0.42;0.16;0.11;0.03;0.04;0.59
p-value Slope_DILTIAZEMHYDROCHLORIDE_372_151;0.07;0.14;0.83;0.25;0.01;0.69;0.59;0.23;0.51;0.81;0.71;0.56;0.12;0.02;0.41;0.59;0.87;0.82;0.00

;Community CFU;|p__Bacteroidetes;|p__Firmicutes;|g__Bacteroides;|g__Parabacteroides;|g__Alistipes;|g__Clostridium;|g__Blautia;|g__Erysipelotrichaceae_noname;|s__Bacteroides_caccae;|s__Bacteroides_cellulosilyticus;|s__Bacteroides_coprophilus;|s__Bacteroides_dorei;|s__Bacteroides_eggerthii;|s__Bacteroides_finegoldii;|s__Bacteroides_fragilis;|s__Bacteroides_intestinalis;|s__Bacteroides_ovatus;|s__Bacteroides_stercoris;|s__Bacteroides_thetaiotaomicron;|s__Bacteroides_uniformis;|s__Bacteroides_vulgatus;|s__Bacteroides_xylanisolvens;|s__Parabacteroides_johnsonii;|s__Parabacteroides_merdae;|s__Alistipes_indistinctus;|s__Clostridium_hathewayi;|s__Clostridium_nexile;|s__Blautia_hansenii;|s__Ruminococcus_gnavus;|s__Ruminococcus_torques;|s__Eubacterium_biforme;BACDOR_03091;BT_2068
PCC Slope_NORETHINDRONEACETATE_342_221;0.22;0.16;-0.17;0.06;0.55;-0.22;0.30;-0.32;-0.18;0.57;-0.00;NaN;0.03;-0.15;-0.15;0.29;-0.07;-0.04;-0.18;0.16;-0.21;-0.11;-0.16;0.02;0.58;-0.09;0.51;-0.10;0.04;-0.07;-0.19;-0.17;0.10;0.42
p-value Slope_NORETHINDRONEACETATE_342_221;0.26;0.43;0.40;0.77;0.00;0.26;0.12;0.10;0.35;0.00;0.98;NaN;0.87;0.43;0.43;0.13;0.73;0.85;0.35;0.41;0.29;0.58;0.41;0.92;0.00;0.64;0.01;0.62;0.82;0.71;0.33;0.38;0.62;0.03

